632,Динамика механических систем
633,Современные вычислительные технологии
634,Математические модели гидродинамики кровообращения
635,Комплексный анализ
636,Геометрия
637,Криптография
639,Курс профилизации: алгоритмы алгебры и теории чисел
640,Актуальные проблемы ответственности в гражданском праве
641,Непрерывные математические модели
642,Алгебра
643,Функциональный анализ
644,Финансовое право
645,Эконометрика
646,Теория алгоритмов
647,﻿Дифференциальное исчисление на алгебраических многообразиях
648,Проблемы доказывания в уголовном судопроизводстве и судебная экспертиза
649,Теория случайных процессов
650,Теория конечных графов
651,Программирование
652,Анализ программного кода
653,Развитие научной теории и законодательства по конституционному и административному праву
654,Уравнения математической физики
656,﻿Экономическая теория
657,Теория случайных процессов
658,Компьютерная графика
659,Педагогика
660,﻿Основы финансовой математики
661,Численные методы в аэрогидродинамике
662,Русский язык
663,Физика
664,Курс профилизации: асимптотические и численные методы
665,Научно-исследовательская работа
667,Операционные системы
668,Иностранный язык
669,Пространства гладких функций
670,"Конфигурирование и программирование в системе ""1С: Предприятие"""
671,Динамика вязкой жидкости
672,Практикум на ЭВМ
674,Алгоритмы быстрых вычислений
675,Технологии ресурсного обеспечения информационно-образовательного пространства
676,Функциональный анализ
677,Математические основы искусственного интеллекта
680,Технология программирования и практикум на ЭВМ
682,﻿Веб-технологии
683,Искусственный интеллект
684,Программирование ускорителей пераллельных вычислений
685,Программирование ускорителей пераллельных вычислений
686,﻿Психологические основы воспитания
687,Моделирование и компьютерный дизайн современных активных материалов
688,Концепции современного естествознания
689,Математический английский
690,﻿Уравнения типа свертки
691,Сингулярные интегральные уравнения
692,Стохастическое моделирование и методы обработки статистических данных
693,Проeкционно-сеточные методы и моделирование в МатЛаб
694,Математический анализ
695,Численные методы решения некорректных задач
696,Иностранный язык
697,Иностранный язык
698,Компьютерная графика
699,Иностранный язык
700,Языки и методы программирования
701,Механика материалов
702,Практикум по решению задач на ЭВМ
703,Физика
704,Педагогика
705,Дополнительные главы алгебры
706,Введение  в педагогическую деятельность
707,"Проектирование, разработка и использование информационно-образовательных сред"
708,Основы искусственного интеллекта
709,Курсовая работа
710,Методика обучения ИКТ взрослых слушателей
711,Курсовая работа
712,Научно-исследовательская работа
713,Курсовая работа
714,Курсовая работа
715,Курсовая работа
716,Курсовая работа
717,Курсовая работа
718,Курсовая работа
719,Теоретические основы информатики
720,Физика
721,Физика
722,Физика
723,Курсовая работа
724,﻿Преддипломная практика
725,Динамика вязкой жидкости
726,Асимптотические методы
727,Методика подготовки учащихся к участию в математических конкурсах и олимпиадах
728,Курсовая работа
729,Курсовая работа
730,Русский язык в сфере профессиональной коммуникации
731,Дифференциальная геометрия. Теория кривых
732,Элементарная математика и ПРМЗ
733,Научно-исследовательская работа
735,Курсовая работа
737,﻿Преддипломная практика
738,Научно-исследовательская работа
746,Контактные задачи теории упругости
747,Курсовая работа
748,Численные методы решения некорректных задач
750,Курсовая работа
751,﻿Преддипломная практика
752,Курсовая работа
753,Научно-исследовательская работа
754,Иностранный язык
757,Иностранный язык
758,Физико-математический практикум и вычислительная механика
759,Основания геометрии
760,Социальная психология
761,Математический анализ
762,Методы оптимизации и исследование операций
763,Компьютерная биомеханика
764,Учебная практика
765,Иностранный язык
766,История
767,Контактные задачи теории упругости
768,Теория вероятностей и математическая статистика
769,Геометрическая теория многогранников
770,Курсовая работа
771,Курсовая работа
772,Курсовая работа
773,Геометрия
774,Курсовая работа
776,Научные основы элементарной математики
777,Экспериментальные методы в МСС
778,Компьютерные сети
779,Численные методы
781,Дифференциальная геометрия и топология
783,Курсовая работа
784,Курсовая работа
785,﻿Преддипломная практика
786,Научно-исследовательская работа
787,Генетические алгоритмы и нейронные сети
788,Иностранный язык
789,﻿Преддипломная практика
790,Математические модели механики сплошной среды и биомеханики
791,Исследование операций
792,Исследование операций
793,Курсовая работа
794,﻿Преддипломная практика
795,﻿Преддипломная практика
796,Избранные главы нелинейной динамики
797,История
798,Иностранный язык
799,﻿Преддипломная практика
801,﻿Преддипломная практика
802,Иностранный язык
803,Научно-исследовательский семинар по механике деформируемых тел и сред
804,Программное обеспечение педагогического исследования
805,Некоммутативные коды
807,Учебная практика
808,Моделирование современных композиционных материалов
809,Теория пластин и оболочек
810,Механика полимеров и композитных материалов
811,Иностранный язык
813,Процессы Леви и финансовая математика
816,Процессы Леви и финансовая математика
817,Современные проблемы науки и образования
818,Современные проблемы науки и образования
819,Методические системы обучения информатике на разных уровнях образования
820,Методика обучения и воспитания информатике
821,Курсовая работа
822,Иностранный язык
823,﻿Преддипломная практика
824,Немецкий язык
825,Научно-исследовательская работа
826,Научно-исследовательская работа
827,﻿Преддипломная практика
829,﻿Преддипломная практика
830,Метапрограммирование в С++
831,Иностранный язык
832,Связи с общественностью
834,﻿Преддипломная практика
835,Немецкий язык
836,Курсовая работа
837,﻿Преддипломная практика
838,ООП и С++
839,Управление стоимостью компании
840,Педагогическая практика
842,﻿Преддипломная практика
843,Численные методы линейной алгебры для разреженных матриц
844,Теория государства и права
846,Теория государства и права
847,Теория вероятностей и математическая статистика
848,Методы алгебраической геометрии
851,Уравнения математической физики
852,Уравнения математической физики
854,Производственный менеджмент
856,Аналитическая геометрия
857,Уравнения с частными производными
858,Уравнения с частными производными
859,Уравнения с частными производными
860,Математика
865,Курсовая работа
866,﻿1С:УТ
867,Методы анализа организаций и моделирования бизнес процессов
868,Теоретические основы информатики
869,Архитектура компьютеров
870,Программное обеспечение ПК
871,﻿Интегральные операторы с однородными ядрами
872,История государства и права зарубежных стран
873,История отечественного государства и права
874,﻿Моделирование информационных систем
875,Курсовая работа
876,Возрастная психология
877,Пространства гладких функций
878,Основы построения бизнес-процессов
879,Управление качеством
880,Учебная практика
881,Учебная практика
882,Учебная практика
883,Разработка пользовательского интерфейса на Джава
884,Базы данных
885,Алгебра
886,Алгебра
887,Теория чисел
888,Теория чисел и числовые системы
889,Практикум на ЭВМ
890,Паттерны проектирования приложений
892,Научно-исследовательская практика
893,Компьютерная графика
894,Конституционная юстиция как гарант прав местного самоуправления
895,Земельное право
896,Муниципальная власть в РФ
897,Криминалистика
898,Языки программирования
899,Трудовое  право
900,Компьютерное моделирование в Мепл
901,История отечественного государства и права
902,Практикум на ЭВМ
903,Основы информатики
905,Технологии БД
906,Теория государства и права
907,История государства и права зарубежных стран
908,Дифференциальная геометрия и топология
909,Основы истории политических и правовых учений
910,Геометрия
911,Инновационный менеджмент
912,Уголовный процесс
913,Гражданское право
914,Актуальные проблемы жилищного права
917,"Гражданско-правовые договоры,регулирующие инвестиционные отношения"
918,Юридическая конфликтология
919,Рекуррентные соотношения
920,Международное право
