ID,Name,Abbr
493,Математические модели и вычислительные методы финансовой математики,
494,Инфокоммуникационные системы и сети,Сети (ВО)
496,Суперкомпьютеры,
497,Сети Ethernet и TCP/IP (ТК),Сети (ТК)
498,Научно-исследовательская работа,НИР
500,Исследование операций,ИО
501,Алгоритмы оптимизации на графах,АОнГ
502,Теория полезности и кооперативные игры,ТеорияПиКоопИгры
503,Эконометрика,Эконометрика
504,Теория мартингалов с дискретным временем,ТМсДВ
505,Детерминированная финансовая математика,ДетерФМ
506,Технологии Java,Технологии Java
507,﻿Архитектура компьютера,Арх-ра ком
508,Введение в информатику,Введ. в инф.
509,Использование свободно-распространяемого программного обеспечения,ИСР ПО
510,Методические системы обучения информатике на разных уровнях образования,МСОИ
511,Методологический семинар,Метод. сем.
512,Педагогические риски информатизации образования,Пед.риски ИО
513,Программное обеспечение педагогического исследования,ПОПИ
514,Свободно- распространяемое программное обеспечение в профессиональной деятельности,СР ПО в пр.д.
515,Современные проблемы науки и образования,СПНО
516,Технологии веб-дизайна образовательных ресурсов,Техн.веб-диз.
517,Педагогическая информатика,Пед.инф.
518,Программирование,Программир.
519,Программирование на Turbo Pascal,Прогр. на TP
520,История информатики,Ист.информ.
521,Методика обучения ИКТ взрослых слушателей,МО ИКТ ВС
522,Основы искусственного интеллекта,ОИИ
523,Программирование на языке PYTHON,Прогр.PYT.
524,﻿Банковские услуги для предприятий,
525,Внешнеэкономическая деятельность,
526,Государственное регулирование экономики,
527,"Деловая игра ""Документационное обеспечение производства""",
528,"Деловая игра ""Корпорация+""",
529,"Деловая игра ""Майнд-менеджмент""",
530,Деловые коммуникации,
531,"Деловая игра ""Маркетинговая стратегия предприятия""",
532,Инвестиционный анализ в условиях  кризиса,
533,Институциональная экономика,
534,История развития управления,
535,История развития управленческой мысли,
536,Корпоративное управление,
537,Лизинг и факторинг,
538,Логистика,
539,Маркетинг взаимодействий,
540,Маркетинг инноваций,
541,Маркетинговые информационные системы,
542,Маркетинговые исследования,
543,Маркетинговые коммуникации,
544,Математика,
545,Менеджмент,
546,Методы принятия управленческих решений,
547,Налоговое планирование на предприятии,
548,Оценка стоимости бизнеса,
549,Поведение потребителей,
550,Производственный менеджмент,
551,Риск-менеджмент,
552,Русский язык в сфере профессиональной деятельности,
553,Связи с общественностью,
554,Социально-экономическая статистика,
555,Сравни тельный  менеджмент,
556,Стратегический маркетинг,
557,Теоретические основы реструктуризации,
558,Управление инвестициями,
559,Управление качеством,
560,Управление проектами,
561,Управление стоимостью компании,
562,Управление человеческими ресурсами,
563,Управленческий учет,
564,Физическая культура,
565,Финансовая безопасность предприятия,
566,Финансовая математика,
567,Финансовый анализ,
568,Финансовый инжиниринг,
569,Финансовый риск-менеджмент,
570,Экономическая безопасность бизнеса,
571,Экономическая оценка инвестиций,
572,Project expert,
573,"Актуальные проблемы представления научных исследований: статьи, тезисы, доклады, диссертации",
574,Банковские услуг для предприятий,
575,Бенчмаркинг и маркетинговые исследования,
576,"Бизнес-тренинг ""Развитие предприятия""",
577,Государственное и муниципальное управление,
578,"Деловая игра ""Консалт-эффект""",
579,"Деловая игра ""Маркетинг-аналитик""",
580,"Деловая игра ""Предприятие""",
581,Документооборот,
582,Игровые модели принятия решений,
583,Имитационное моделирование,
584,Инвестиционный анализ в условиях кризиса,
585,Иностранный язык (английский),
586,Иностранный язык (немецкий),
587,Иностранный язык в профессиональной сфере (английский),
588,Информационные модели предприятия,
589,Информационные технологии в менеджменте,
590,Информационные технологии финансового менеджмента,
591,Исследование систем управления,
592,История и методология экономической науки и практики,
593,История менеджмента,
594,Конкурентная отраслевая стратегия,
595,Контроллинг логистических бизнес-процессов,
596,Корпоративная культура,
597,Корпоративная социальная ответственность,
598,Корпоративные финансы,
599,Коучинг,
600,Логистика распределения и сбыта,
601,Логистика складирования и управления запасами,
602,Логистика снабжения,
603,Маркетинг,
604,Маркетинг в коммерческой деятельности,
605,Маркетинг в отраслях и сферах,
606,Маркетинг интеллектуальных услуг,
607,Маркетинг на рынках В2В,
608,Маркетинг отношений,
609,Маркетинг услуг,
610,Маркетинг услуговых сфер,
611,Маркетинговая технологии ценообразования,
612,Маркетинговые исследования рынка,
613,Маркетинговые технологии ценообразования,
614,Менеджмент в сфере услуг,
615,Методы анализа и моделирования бизнес-процессов,
616,Методы исследований в менеджменте,
617,Оперативное управление,
618,Операции с ценными бумагами,
619,Организационное поведение,
620,Основы бизнеса,
621,Основы стратегического управления,
622,Отраслевой маркетинг,
623,"Позиционирование компании, товара, личности",
624,Правовое регулирование несостоятельности,
625,Практикум по финансовому анализу,
626,Региональный маркетинг,
627,Современные методы управления,
628,Современные проблемы менеджмента,
629,Современный стратегический анализ,
630,Специфика маркетинга: компаративный анализ,
631,Сравнительный менеджмент,
632,Стратегический менеджмент,
